mS1,mS2,mR,xsec_TChannel (fb),xsec_GluonSplit (fb)
3092.592,8481.53,8473.701,0.2648200000001439,0.005795324200001183
3916.674,8347.99,8337.389,0.17180000000000167,0.003773890261000024
2602.442,7777.53,7798.79,0.7350500000000155,0.015924295000000338
2894.597,5801.813,5769.436,0.5479200000000819,0.012033140770001996
2563.551,7663.657,7686.51,1.8920000000010515,0.04053574161001339
3850.922,6339.858,6325.28,0.06744100000003464,0.001462401200001394
3125.763,8274.337,8270.313,0.213150000000001,0.004655995480000054
2741.12,7880.657,7885.132,0.7152300000000035,0.015364716410000121
2733.238,6185.348,6165.815,0.6733100000000101,0.014840356600000082
3145.899,7875.981,7885.685,0.1459900000000012,0.0032582544500000714
3156.188,6861.872,6875.755,0.24423000000019962,0.005475860170002541
3436.321,4978.58,4962.115,0.22978000000000318,0.005199213110000095
3030.45,8565.134,8570.399,0.4350600000000037,0.009675392000000099
3664.632,5765.135,5759.184,0.45158000000000176,0.009809508070000025
2937.923,6677.582,6685.675,0.7068300000000096,0.015290781900000279
3337.802,7958.066,7950.7,0.5877700000002286,0.013017403500007007
2871.511,8107.545,8113.89,0.5775700000001498,0.012931979430002367
3582.477,8317.479,8309.263,0.23765000000001912,0.005398516370000879
2895.589,7993.263,8001.535,0.26496000000001746,0.005802293900000452
2822.545,7361.949,7352.577,1.351200000001162,0.029084687900016927
3382.84,5400.648,5409.293,0.23432000000000652,0.004933357671000079
3104.48,5293.255,5257.684,0.6370500000004313,0.014497444800003399
3172.11,7014.523,7009.53,0.22418000000018334,0.005007907600003663
3753.36,6580.414,6589.175,0.1568400000000201,0.003437772820000215
3140.665,7737.03,7741.277,0.2993500000000998,0.006518813900003657
3078.537,7353.724,7360.884,0.42868000000000395,0.009311603600000074
3009.175,7011.764,7034.746,0.10362000000000172,0.002239672900000033
3681.077,5792.974,5824.904,0.7253000000001465,0.01584744752000472
3280.535,9687.743,9677.187,0.7369500000000052,0.016132283100000106
2991.569,8697.622,8690.932,1.3704000000000212,0.02936065910000053
3055.764,8110.482,8104.065,0.32497000000003284,0.007216818500001658
2544.591,6515.012,6495.241,1.5618000000000514,0.034340493500001214
3360.069,8279.186,8274.005,1.1946000000000656,0.02646919290000199
2626.183,5017.787,5029.06,0.5130200000013734,0.010963276700022673
3477.27,7704.946,7712.294,0.36762000000000716,0.008062509200000229
3147.042,8164.93,8151.323,0.3053300000000269,0.006731341420000672
3394.47,9488.079,9474.647,1.658700000000009,0.03655315303000011
3073.593,6372.55,6395.692,0.6537400000004292,0.014126401300006721
3488.365,8848.62,8841.68,0.09183900000000271,0.0020488192900000647
2947.399,8212.851,8224.819,0.04864500000000298,0.0010804524000000556
4060.125,7590.536,7580.448,0.12525000000008019,0.002701407433801525
3110.241,8213.054,8190.025,1.3295000000000132,0.02889648410000014
3598.414,7716.265,7721.559,0.19848000000002528,0.004473370949000556
3317.86,8915.316,8906.059,0.2615100000000273,0.005870239500000276
2750.711,9234.286,9247.33,0.2817500000000561,0.006150497400000795
3389.033,7262.371,7256.226,0.05634500000004488,0.0012341551100022278
2174.648,6069.521,6075.929,1.1340000000002621,0.024169617900013218
2698.448,7816.067,7836.564,1.5618000000008339,0.03351148100001354
3852.662,5828.094,5821.444,0.1398900000000022,0.003054436011000019
2886.059,8508.485,8513.097,0.7160100000000871,0.015285105100001754
2790.802,8155.559,8169.75,1.2085000000000043,0.026328920860000098
3157.188,5920.376,5904.495,0.22791000000003903,0.005180604410000655
2750.655,6568.509,6590.521,1.4255000000000753,0.030661833500001776
2419.543,8694.503,8705.514,0.09815300000005103,0.0021176288500015013
2950.025,6163.319,6173.796,0.1710300000000075,0.0037305659630000737
3397.338,8669.416,8673.317,0.7308700000000627,0.016321180940000943
2000.302,7379.2,7370.127,0.35391000000001627,0.007431429000000264
2878.274,7440.43,7450.615,0.33947000000000144,0.007350662300000025
2907.029,8175.397,8169.865,2.3054000000001587,0.05023096790000546
3315.8,7089.189,7096.32,0.39812000000000475,0.008389786900000109
3015.798,6174.355,6148.275,2.7044000000000032,0.05964015200000009
2835.768,9472.763,9483.666,0.2300900000000756,0.005037854900001269
2518.878,10448.35,10452.81,0.4128400000002965,0.00894537430000956
2534.034,9423.684,9413.935,1.664200000000007,0.035465465000000244
2339.849,5952.072,5936.29,0.4433600000000088,0.00967238190000011
2790.831,6740.753,6716.673,0.20921000000000156,0.004594655400000015
2866.802,7090.025,7081.486,0.8746300000000711,0.018521133200003044
3156.373,7154.455,7140.778,1.635600000000415,0.03546020360000559
3951.486,8462.808,8467.603,0.2610200000000055,0.005825070800000066
3278.981,6468.521,6495.605,0.27196000000001397,0.0060150470700001575
3271.024,5345.688,5351.473,0.5801300000000073,0.01275913870000031
3722.687,6308.927,6319.086,0.17142000000000124,0.003901126555000041
3974.356,5757.243,5776.905,0.11248000000000274,0.0024330882120000385
3113.542,8126.46,8116.871,0.15338000000007598,0.003334096637002009
3114.849,9044.194,9053.022,0.35846000000008277,0.007748676330002803
3280.395,10406.1,10411.64,0.43098000000004655,0.009383697390000643
3153.593,7294.414,7279.844,0.12034000000003693,0.0026633534300003845
2792.197,9702.951,9697.471,0.15563000000002425,0.003441389200001288
3041.405,6303.894,6309.468,0.050893000000010326,0.0011029295200003526
2914.645,7778.555,7770.402,0.7629800000000397,0.01688417861000076
2561.492,6604.949,6593.186,0.523120000000068,0.011201756000001303
3063.018,7853.803,7830.201,0.28464000000011924,0.006205778800001627
2831.473,8578.606,8585.865,0.22274000000035798,0.004907280300003654
4103.786,9193.766,9188.261,0.17283000000001866,0.003709310235000616
2664.093,8463.45,8453.537,0.4238800000000098,0.00913464460000023
2172.445,5325.344,5357.713,0.5603300000000402,0.012113420400000689
2601.849,5877.263,5857.327,0.20772000000017557,0.004453601450002459
3588.703,8794.308,8807.179,0.26432000000001754,0.005727330370000381
2104.922,7940.429,7931.128,4.52110000000009,0.09304179900000295
2407.741,7831.796,7839.768,1.6704000000013208,0.035934592960020224
3225.902,6135.669,6152.142,0.28260000000001934,0.006108767480000251
2809.839,7794.294,7801.292,0.13404000000000488,0.002895547770000077
2574.378,7223.997,7211.87,0.305310000000089,0.006456183546003986
2779.626,7775.423,7796.843,0.2712600000000024,0.005766039360000047
2580.489,8375.96,8390.101,2.8847000000004646,0.06217475000001621
3137.347,9703.445,9710.954,0.3175600000004594,0.006819236300004937
2919.149,8165.521,8169.315,1.0364000000000113,0.02231116686000019
3665.939,9033.684,9024.806,0.2108200000000009,0.0045919407000000155
2244.641,5961.628,5968.933,0.6384400000000254,0.013580029080000458
3531.824,8916.069,8934.559,0.1946700000000012,0.004238462800000019
2357.507,6791.529,6800.894,1.218100000000015,0.025208996000000112
2441.464,7747.778,7742.567,0.9773700000000058,0.02102483500000011
3079.786,6279.937,6300.857,1.5863000000001957,0.03531077600001006
2424.732,8773.283,8790.325,0.4609600000000021,0.00999440900000004
3600.443,8753.108,8731.794,1.1838000000003692,0.026638665040006254
2765.431,7965.435,7956.786,0.5081000000001019,0.011148207000002233
2510.217,5162.709,5154.319,0.29241000000000245,0.006360098000000053
2195.3,8605.35,8608.968,1.021400000000315,0.021901402000006114
3779.357,8859.813,8863.627,0.08462600000001078,0.0018665608400001003
3888.969,6743.856,6738.445,0.4947500000000043,0.011120679930000094
2638.415,7405.711,7424.64,0.29633000000019805,0.006486766340002668
2534.338,8415.418,8424.636,3.728300000000054,0.07981089190000136
2644.363,7764.292,7773.198,0.7948900000000088,0.01761405550000012
2635.694,7175.26,7193.132,0.1527600000000093,0.0033890562400001978
3114.013,6656.477,6661.991,0.8255400000006292,0.01808513950000792
2511.172,6919.199,6924.404,1.0052000000000483,0.0217963193000007
3343.592,5333.598,5352.006,0.17070000000001004,0.0036010092900002986
3324.677,7267.461,7262.998,0.05330200000003135,0.001171541360000568
3732.915,7394.674,7401.741,0.276750000000003,0.006048501510000067
3178.101,9699.435,9695.824,0.4541200000000798,0.00993460008000162
2793.329,10354.39,10349.28,0.38086000000038905,0.008323440700004256
3065.926,5593.478,5587.732,0.6809600000000257,0.015107383140001466
3029.568,8282.645,8293.159,1.1671000000013423,0.02516876360002016
2836.776,5308.257,5319.625,2.381600000000054,0.051207602810000676
2918.504,7284.142,7306.503,0.40517000000000697,0.008834645980000123
2895.567,7187.237,7164.833,1.6447000000005862,0.03611303250002562
3465.794,5451.371,5425.998,0.041983000000001325,0.0009337386700001769
3039.31,6628.195,6635.669,0.2414700000000372,0.005238245589001524
3051.576,10173.77,10184.95,1.4158000000006463,0.03058219992001087
3002.998,6487.6,6493.99,0.32446000000000447,0.007140362300000062
3081.221,4392.202,4383.597,0.20992000000000122,0.00461478850000003
3752.355,6809.746,6802.714,0.07655300000008458,0.00167201701800187
2805.93,8057.282,8074.441,1.0029000000003985,0.021617344500008663
2814.689,10615.32,10632.0,0.17688000000000278,0.0038585221000000487
3601.073,4998.952,4984.826,0.060347000000076444,0.0013544684290016714
3780.583,5950.514,5945.123,0.3637400000000341,0.007946876580000924
2571.368,8213.284,8206.127,0.3547100000000114,0.007776085600000151
3803.552,6225.109,6244.176,0.10517000000000165,0.002365109971100013
2577.586,9326.002,9332.36,0.46511000000014646,0.010050889331001418
2291.674,9535.658,9544.07,1.0765000000004228,0.022652843000005116
3299.765,8936.006,8932.437,0.15661000000000133,0.0034444211100000347
2511.449,7235.837,7257.184,0.572700000000374,0.012556549600007351
3452.14,8028.026,8021.506,0.09615200000000636,0.0020762997470001343
2783.766,8098.825,8103.225,0.5269300000000127,0.011561915300000293
3042.132,4847.546,4855.849,0.12400000000008206,0.002803581370001345
2875.994,8602.08,8594.895,0.2665600000000219,0.005763996069000368
3063.151,6809.014,6814.033,0.2528500000000046,0.005628969360000145
3654.753,7879.839,7901.089,0.1860200000000076,0.004092136810000125
2361.213,7464.148,7460.013,1.214300000000838,0.02574920670000891
3479.263,7509.805,7502.635,0.14724000000002682,0.0034069211000008963
2913.629,7930.995,7912.267,0.5203200000002172,0.011377425100002524
2339.016,7654.006,7677.865,0.7803300000000081,0.016610104720000123
2710.724,6826.449,6818.551,2.151800000000006,0.046598721600000274
2644.829,7436.084,7446.29,1.6123000000000107,0.035142830000000194
2769.008,6712.154,6688.126,0.9956200000001951,0.021263577800003017
3905.066,6986.686,6977.367,0.31281000000001274,0.00689572456000019
2239.64,7334.867,7360.515,7.93970000000003,0.17085371600000077
2583.441,10360.48,10343.74,0.1312600000000241,0.002832913970000292
2319.028,8946.4,8930.833,1.0964000000000207,0.02421273900000029
3117.056,8815.67,8831.793,0.20141000000004936,0.0043344908180010374
3879.176,7286.565,7261.68,0.5502200000000027,0.011950046800000022
2610.569,8725.93,8720.684,0.265380000000077,0.005634312000001163
2421.438,7035.631,7025.293,0.9657800000000681,0.020714258000001023
2984.358,7115.519,7093.641,0.5660800000000273,0.012244845200000513
3470.909,6358.871,6349.229,0.2784800000000028,0.006197764545000095
2852.272,10983.38,10997.65,0.823760000000006,0.0181284417000002
3432.495,7796.963,7775.623,0.4421100000000865,0.009810901420002259
3227.893,6118.765,6135.175,0.8467700000000016,0.01879118640000005
3468.264,6145.286,6154.787,0.13408000000005554,0.0029734329200016988
2940.127,8060.275,8054.539,0.2389500000000535,0.005087797020001245
3056.069,7796.711,7791.745,0.11430000000002008,0.0024653771900003197
2652.104,6985.28,6989.646,0.2876700000000396,0.006295341480000483
3351.002,6910.007,6898.472,0.22880000000000236,0.004993693110000033
2789.172,8404.973,8410.65,0.8280200000000121,0.017705290000000245
3529.766,7414.168,7409.511,0.3001900000000023,0.006679164600000064
3777.507,5432.281,5456.727,0.17096000000001016,0.003560114120000254
1950.556,7527.334,7509.553,1.0191000000002597,0.02111654910000462
2640.186,9403.723,9386.342,1.464900000000004,0.031406978600000086
3513.362,7077.678,7082.281,0.4729800000000224,0.010546484730000704
2958.557,6499.739,6525.814,0.12600000000009065,0.0029746586510036176
3454.879,8149.483,8157.862,0.11088000000000779,0.002371742060000105
2728.722,6760.104,6767.703,0.1464700000000022,0.003163219880000064
2831.239,9250.023,9239.096,1.1534000000000113,0.02531063810000026
2169.722,7141.137,7128.965,2.7224000000012607,0.05813477000001964
2810.469,7902.404,7913.724,0.4580300000000075,0.0100684277000001
2237.486,7526.865,7539.826,1.008600000000011,0.02189215500000011
2158.991,9427.725,9421.349,0.4600800000000089,0.010166559000000276
2703.237,9794.487,9799.459,1.8256000000000367,0.04036515290000057
3396.584,8705.834,8700.841,0.23261000000002643,0.004944275440000771
3009.562,9843.038,9847.368,0.15695000000016712,0.003368432490001952
3703.728,9096.296,9103.717,0.07219300000000123,0.0016227227400000131
2613.982,8039.51,8027.827,0.7772100000000911,0.016522056570001234
3892.018,6308.995,6293.169,0.11073000000004932,0.002392216012002546
3128.361,6559.672,6568.562,0.12685000000000204,0.0027509173780000764
3126.734,4793.017,4760.551,0.39804000000039136,0.008793243190010621
3232.725,6994.924,6986.903,0.20984000000002784,0.004571071218000301
2927.818,10530.89,10536.64,0.1700500000001413,0.0037297512000031645
3142.259,7370.468,7365.945,1.5544000000000213,0.033826930000000296
2471.058,7912.661,7908.728,0.48928000000068167,0.010490009370007108
3455.42,8996.994,9005.227,1.418000000000444,0.03033728400001341
3207.335,6873.229,6878.178,0.05396700000018704,0.0011763106000023263
3024.246,7878.586,7863.485,1.0661000000000127,0.023186200400000224
2568.573,7576.19,7570.032,0.6063600000002186,0.013458690000008195
3302.911,6344.237,6354.231,0.6197100000000024,0.013877860200000069
3590.452,8094.618,8081.824,0.10118000000009715,0.002214758080001001
2320.245,7847.14,7842.177,0.8617900000000197,0.0190660292000004
3383.987,8099.499,8110.315,0.23466000000003126,0.005232137300001115
3116.982,7867.913,7885.094,0.37180000000000574,0.007918372960000175
3796.828,8750.958,8743.864,0.23059000000002652,0.004921295630000424
3030.592,7074.341,7065.394,0.25916000000000106,0.005736618900000043
4085.014,8351.073,8357.331,0.34376000000002715,0.00768854234000048
3940.943,8689.789,8683.855,0.039495000000041046,0.0008520417300003741
2376.675,7735.343,7743.011,1.488300000000018,0.03179401300000019
2275.968,5651.594,5666.525,0.8356400000001619,0.018024560000007746
3542.016,8547.531,8528.33,0.03434000000001299,0.0007517457810002537
3171.761,8829.635,8838.499,0.37147000000015956,0.008156471000001466
3006.107,7231.024,7223.88,0.3183800000000019,0.006757442700000059
3606.073,7597.198,7602.817,0.09218500000000185,0.0019851861200000202
3366.457,9635.197,9630.235,0.2977100000000011,0.006439780850000024
2828.331,6883.077,6891.237,0.834880000000021,0.018309999600000466
3313.324,7816.783,7830.055,0.5493800000004133,0.01204533076000659
2599.084,7535.79,7526.86,0.6604100000000019,0.01416972010000005
